Ha_FWQM_1_4 Ha_FWHM Ha_FWQM_3_4 Hb_FWQM_1_4 Hb_FWHM Hb_FWQM_3_4 EW_b_Ha EW_b_Hb EW_n_Ha EW_n_Hb EW_n_OIII EW_FeII integrated_flux_b_Ha integrated_flux_b_Hb integrated_flux_n_Ha integrated_flux_n_Hb integrated_flux_n_OIII integrated_flux_FeII L5100 sigma_line_Ha sigma_line_Hb v_peak A.I._Ha K.I._Ha A.I._Hb K.I._Hb
8310.760230158297 5324.567123113982 3318.8569645715643 9294.453202832523 5849.729303929606 3615.384762796703 490.54994273894914 90.47520242341947 15.438117242925992 3.443163356793645 76.62670380804367 32.14116714398686 48.43254971787348 11.442701819634909 1.5234496544011642 0.4331225057380336 9.30796279991087 16.110542411160196 1.1474503762954845e+55 4117.290959014626 3518.6440489251922 15.651924175389132 -0.02088513861567143 0.39934456928838014 -0.15405013420066166 0.38898305084745594
8343.80196248646 5342.056467472099 3330.5173606380886 9228.781101940707 5794.571804262616 3586.4907497158088 491.7192576583418 90.03423419236739 15.949881533239221 3.3845122084904866 77.39025796335996 32.14116714398686 48.50881505356364 11.38638316933305 1.5726638069006653 0.4255703680476312 9.399500321442087 16.100566197855567 1.1480985402382833e+55 4132.500013401976 3551.5079679859273 16.733828261858978 -0.020534334876078912 0.3991606435066433 -0.15943455383156713 0.38862019914651685
8231.015075577883 5268.160913416414 3279.955428367809 9181.572721375282 5823.485357738116 3604.8897187441744 489.9763884532136 89.94687236454477 14.671688197333097 3.5475399483930605 76.60841416045383 32.14116714398686 48.47262164727726 11.370096066566221 1.4507326226631334 0.4461687603076463 9.305754297021952 16.111662528205002 1.1479418649520412e+55 4080.4728756675863 3469.7957877029617 15.056263119588076 -0.01807156815259652 0.3984873552351658 -0.1552372273111605 0.39262224764083864
8332.146760933345 5361.521473997693 3346.0874220885207 9362.703054371377 5868.0990820302595 3623.2558090388975 491.40091111941797 90.90932191223136 15.276485552291183 3.4190972149410093 76.90072931185253 32.14116714398686 48.4737593582167 11.497271020232706 1.5061301831175493 0.42999714610017276 9.338319130007886 16.104840745711364 1.1467254857747337e+55 4174.520733484354 3550.9115500849193 16.115995702981266 -0.023627310191153897 0.4015876721923824 -0.1534365749505101 0.38698822209759454
8322.438633355932 5324.57095359871 3314.9685440015483 9318.089872015918 5873.363494984289 3631.1406855446426 490.4311930768045 90.2838639466156 15.189644186794844 3.3460226002895173 77.10540810578496 32.14116714398686 48.38652393799285 11.414334584803454 1.4978670520304025 0.4206993538573075 9.361134179652108 16.105296202850305 1.1475825943887259e+55 4118.702943775353 3530.1419495826394 15.4362652436601 -0.022184573930532487 0.3983169705469878 -0.1537304997792211 0.3896872358410796
8295.121267759558 5305.06465693722 3303.2635817672463 9614.682726972624 5910.06303069782 3575.9688351001187 487.2291951236918 94.9415369767349 15.04620189537641 3.2602463869888716 70.34694194921467 32.14116714398686 48.20721337608905 12.003381957523894 1.4879520638808987 0.41069459981553863 8.551296279596473 16.133590761274395 1.1404714698159144e+55 4066.145144141338 3509.035277431042 18.389097652446903 -0.02082543197672437 0.39821763602250865 -0.1281181738369135 0.3719279082468574
8369.059537756903 5365.380335921311 3344.122116551449 9283.881361474463 5878.566280639502 3638.9874341073073 492.4555594827882 90.38402737726851 15.66428831306105 3.4853181809659395 75.6911359613809 32.14116714398686 48.53600097650309 11.445444176446102 1.5430477635702586 0.43895933637229284 9.203119164608202 16.12571844830928 1.1469180535871536e+55 4162.332488974234 3511.9219827371103 17.90040252465896 -0.024940559576936448 0.39958158995816506 -0.15616321404776412 0.3919683257918501
8338.020403837734 5345.982284121864 3332.484589774588 9331.238386318644 5918.011064367511 3667.9065913581617 485.3565211644677 90.58895741247713 15.43187338354887 3.415041274631903 75.57755775421552 32.14116714398686 48.085425811740976 11.473686018895046 1.5281130251558497 0.43014805440101095 9.195415297024066 16.130704127311056 1.145755420421667e+55 4079.2707361041594 3541.9722255855972 14.769770943675347 -0.022688760431482664 0.39967335510965507 -0.15167687745107994 0.39307822172199613
8365.26498836734 5369.332876254384 3348.0514058093436 9241.979160267325 5831.373782657316 3607.5225472179873 490.372802576062 90.27583524477498 15.75219672199115 3.3347309736069333 77.0565315375773 32.14116714398686 48.38664967509475 11.4215842560237 1.5535237399317066 0.41961470343352913 9.363386159959857 16.114278653345323 1.1494507288864255e+55 4143.57345489063 3511.5394611475804 14.452015430336592 -0.02090410781840184 0.40023255813953446 -0.15686427858488172 0.3903409090909094
8320.494904250294 5332.353643336451 3322.7508291932318 9394.232818725573 5923.250206552528 3641.643633195146 492.13727711541895 92.56857060407826 15.43027571074374 3.253582482340104 73.71090499393036 32.14116714398686 48.522250916985975 11.707573664676126 1.5205549207921418 0.4096830134180599 8.958337975580099 16.119427776603708 1.1445902187957526e+55 4141.079603210143 3467.1229885881744 15.375918177625689 -0.021377267852951378 0.3993453355155469 -0.13422127005642356 0.38764673001676503
8283.506585919977 5308.992360961813 3309.1227577853165 9328.56509707146 5941.610699316794 3699.394377082333 492.1029497824842 91.12533167757199 15.308298813222514 3.4705283624888508 75.6789593161561 32.14116714398686 48.58278590938265 11.548168186318398 1.5105499317211821 0.4372682399150984 9.206432679157443 16.131898836113212 1.1434902081140322e+55 4116.005934289731 3582.0129822145664 16.30358095544218 -0.021437371948774372 0.3994833255049318 -0.14547792537529539 0.39656628201519367
8262.121705606507 5293.43846502361 3299.401557030484 9252.440502691248 5805.092494736178 3586.5021925868123 492.08880382280984 90.38729760354256 15.136419674734087 3.361566958762385 77.37230593129172 32.14116714398686 48.59956928080961 11.423201617017767 1.4941394939919543 0.42249170481267595 9.39176546690667 16.098690027469377 1.1474545615501882e+55 4119.552274211832 3531.8590065968674 15.777379405441446 -0.018162657176609857 0.3993407110901765 -0.15125049242825478 0.3876276958002172
8365.210438812624 5369.297863051815 3348.0295733015164 9249.795529115701 5812.956940523001 3589.1202067275744 492.93056318027374 90.40387748292328 15.810719429511 3.5718466913110185 76.69641595273703 32.14116714398686 48.55828408597862 11.423488575984491 1.5567010831855403 0.4489094753829376 9.308034558027934 16.09270285163938 1.145428068802303e+55 4153.475033865767 3514.756342379269 16.406855684945235 -0.019461937086426757 0.40023255813953473 -0.15193039386758592 0.38802157252342
8199.83174183771 5246.725078941008 3270.205731442319 9331.164798814933 5833.947153338962 3596.9881188453546 491.109310077067 89.77923011353406 14.920068148007985 3.4250112825370747 77.00808837291932 32.14116714398686 48.51926996838361 11.350918611953439 1.4733035065415503 0.43054845989478846 9.34820856329164 16.105297960218355 1.1484255010428954e+55 4085.2546418552956 3556.6571516452977 17.13386141247493 -0.017133798126385037 0.39881376037960203 -0.16358305290894934 0.385481148002249
8320.479369368999 5332.343687500739 3322.7446254108627 9220.929027453938 5854.974866521257 3631.1346369500907 489.9651629088755 90.38478012718467 15.75866604570566 3.4155520094534837 76.85538950596106 32.14116714398686 48.39982975034082 11.433923830077473 1.555874835976103 0.429724630528402 9.338661883976762 16.112723214778168 1.1475338940579052e+55 4098.314655911691 3511.764622556115 15.93562062653823 -0.020337822716580047 0.39934533551554857 -0.1523120764494283 0.39379271070614796
8429.365608719036 5408.178258074979 3371.357165915076 9220.86754229919 5833.931571465997 3615.3572339823118 493.0483911675844 90.10881928629081 16.364509415237514 3.454969070366737 77.21084805839448 32.14116714398686 48.53861322785896 11.386703524404496 1.6101790739639064 0.43415902943188245 9.37047702283769 16.08763580125555 1.1479694582603183e+55 4177.035289889722 3522.9077901536575 17.934530480557306 -0.02764612933005362 0.39995384260327543 -0.1614317881769619 0.39208428246013344
8374.925551865814 5369.290249279829 3346.0794307106 9304.918782480892 5910.0937300690275 3667.881359798488 492.18403284951717 90.18864793314818 15.54293707966037 3.6035958762607647 77.11938135561326 32.14116714398686 48.45780350115451 11.409620525970377 1.529456981511105 0.45327239365209754 9.366194773122896 16.10314378487816 1.148105239059927e+55 4165.282484057229 3552.1121202572026 16.831944136238906 -0.023401824122263867 0.39953542392566593 -0.15816150498599935 0.3941873589164796
8295.227277637923 5318.750322950815 3313.0328456420175 9247.227013978303 5794.613861399801 3586.516780549239 489.5991267149867 89.85664730782852 15.77036589234026 3.2112779114735606 77.51354385775038 32.14116714398686 48.38655804759663 11.36926169021394 1.5577968644660252 0.40395143324484234 9.420068337184713 16.11003228547461 1.1486794096413556e+55 4102.83451249924 3560.1481230909703 14.558049068944898 -0.016793477028251524 0.3993902439024441 -0.16246357546402687 0.3878478137421937
8371.006909039697 5377.053938318735 3353.8498515418196 9160.483524925938 5826.057019722139 3617.9840347801915 491.38135840801675 90.21509856194037 16.057030773599923 3.4454171921797054 76.78941323066546 32.14116714398686 48.43383870894035 11.409828098327097 1.5818642611799065 0.43339282240369525 9.327010986331814 16.10660833863492 1.1467092346302097e+55 4162.28181826507 3495.5282600334426 17.829382076308192 -0.024109995038917902 0.40065070880780884 -0.15571934660341605 0.39495557466323183
